unit_id	scientificName	kalamari_taxid	species_taxid	accession_set	parent_assembly	eligibility	regime	resolver	species_name	superkingdom	total_length_bp	n_replicons	flags	note
Acholeplasma_laidlawii~GCF_000018785.1	Acholeplasma_laidlawii	2148	2148	CP000896	GCF_000018785.1	eligible			Acholeplasma laidlawii	Bacteria	1496992	1		
Acinetobacter_baumannii~GCF_009035845.1	Acinetobacter_baumannii	509170	470	CP045110	GCF_009035845.1	eligible			Acinetobacter baumannii	Bacteria	3981941	1		
Acinetobacter_pittii~GCF_000191145.1	Acinetobacter_pittii	48296	48296	CP002177	GCF_000191145.1	eligible			Acinetobacter pittii	Bacteria	3862530	1		
Actinobacillus_pleuropneumoniae~GCF_003290385.1	Actinobacillus_pleuropneumoniae	715	715	CP030753	GCF_003290385.1	eligible			Actinobacillus pleuropneumoniae	Bacteria	2318657	1		
Aggregatibacter_aphrophilus~GCF_900636915.1	Aggregatibacter_aphrophilus	732	732	LR134327	GCF_900636915.1	eligible			Aggregatibacter aphrophilus	Bacteria	2337153	1		
Agrobacterium_fabrum~GCF_000092025.1	Agrobacterium_fabrum	1176649	1176649	AE007869,AE007870	GCF_000092025.1	eligible			Agrobacterium fabrum	Bacteria	4917157	2		
Aliivibrio_fischeri~GCF_000011805.1	Aliivibrio_fischeri	668	668	CP000020,CP000021	GCF_000011805.1	eligible			Aliivibrio fischeri	Bacteria	4227869	2		
Alkaliphilus_transvaalensis~GCF_000016985.1	Alkaliphilus_transvaalensis	208226	208226	CP000724	GCF_000016985.1	eligible			Alkaliphilus metalliredigens	Bacteria	4929566	1		
Amycolatopsis_mediterranei~GCF_000220945.1	Amycolatopsis_mediterranei	33910	33910	CP002896	GCF_000220945.1	eligible			Amycolatopsis mediterranei	Bacteria	10236779	1		
Aquifex_aeolicus~GCF_000008625.1	Aquifex_aeolicus	63363	63363	AE000657	GCF_000008625.1	eligible			Aquifex aeolicus	Bacteria	1551335	1		
Arcobacter_bivalviorum~GCF_003346815.1	Arcobacter_bivalviorum	663364	663364	CP031217	GCF_003346815.1	eligible			Halarcobacter bivalviorum	Bacteria	2684688	1		
Arcobacter_cibarius~GCF_008808035.1	Arcobacter_cibarius	255507	255507	CP043857	GCF_008808035.1	eligible			Aliarcobacter cibarius	Bacteria	2105974	1		
Arcobacter_ellisii~GCF_003544915.1	Arcobacter_ellisii	913109	913109	CP032097	GCF_003544915.1	eligible			Arcobacter ellisii	Bacteria	2799949	1		
Arcobacter_halophilus~GCF_003346755.1	Arcobacter_halophilus	197482	197482	CP031218	GCF_003346755.1	eligible			Malaciobacter halophilus	Bacteria	2812536	1		
Arcobacter_molluscorum~GCF_003544935.1	Arcobacter_molluscorum	1032072	1032072	CP032098	GCF_003544935.1	eligible			Malaciobacter molluscorum	Bacteria	2800582	1		
Arcobacter_mytili~GCF_003346775.1	Arcobacter_mytili	603050	603050	CP031219	GCF_003346775.1	eligible			Malaciobacter mytili	Bacteria	2867150	1		
Arcobacter_skirrowii~GCF_003544835.1	Arcobacter_skirrowii	28200	28200	CP032099	GCF_003544835.1	eligible			Aliarcobacter skirrowii	Bacteria	1969846	1		
Arcobacter_suis~GCF_003544815.1	Arcobacter_suis	1278212	1278212	CP032100	GCF_003544815.1	eligible			Arcobacter suis	Bacteria	2639269	1		
Arcobacter_thereius~GCF_004214815.1	Arcobacter_thereius	544718	544718	CP035926	GCF_004214815.1	eligible			Aliarcobacter thereius	Bacteria	1915080	1		
Arcobacter_trophiarum~GCF_003355515.1	Arcobacter_trophiarum	708186	708186	CP031367	GCF_003355515.1	eligible			Aliarcobacter trophiarum	Bacteria	1915613	1		
Arripis_trutta~strain-270544	Arripis_trutta	270544	270544	AP006810	strain:270544	exclude:organelle			Arripis trutta	Eukaryota	17244	1		molecule=mitochondrion
Atlantibacter_hermannii~GCF_008064855.1	Atlantibacter_hermannii	565	565	CP042941	GCF_008064855.1	eligible			Atlantibacter hermannii	Bacteria	4315318	1		
Bacillus_cereus~GCF_000283675.1	Bacillus_cereus	1396	1396	AP007209	GCF_000283675.1	eligible	A	marker	Bacillus cereus	Bacteria	5221581	1	confounded	confounded:Bacillus anthracis vs B. cereus group
Bacillus_pumilus~GCF_000017885.4	Bacillus_pumilus	1408	1408	CP000813	GCF_000017885.4	eligible			Bacillus pumilus	Bacteria	3704641	1		
Bacillus_subtilis~GCF_000009045.1	Bacillus_subtilis	1423	1423	AL009126	GCF_000009045.1	eligible			Bacillus subtilis	Bacteria	4215606	1		
Bacillus_thuringiensis~GCF_000008505.1	Bacillus_thuringiensis	1428	1428	AE017355	GCF_000008505.1	eligible	A	marker	Bacillus thuringiensis	Bacteria	5237682	1	confounded	confounded:Bacillus anthracis vs B. cereus group
Bacteroides_fragilis~GCF_000025985.1	Bacteroides_fragilis	817	817	CR626927	GCF_000025985.1	eligible			Bacteroides fragilis	Bacteria	5205140	1		
Bacteroides_thetaiotaomicron~GCF_014131755.1	Bacteroides_thetaiotaomicron	818	818	CP040530	GCF_014131755.1	eligible			Bacteroides thetaiotaomicron	Bacteria	6271157	1		
Bartonella_bacilliformis~GCF_000015445.1	Bartonella_bacilliformis	774	774	CP000524	GCF_000015445.1	eligible			Bartonella bacilliformis	Bacteria	1445021	1		
Betacoronavirus_coronavirus~strain-2697049	Betacoronavirus_coronavirus	2697049	694009	MT233526	strain:2697049	exclude:virus			Severe acute respiratory syndrome-related coronavirus	Viruses	29847	1		
Bifidobacterium_bifidum~GCF_017894325.1	Bifidobacterium_bifidum	1681	1681	CP058603	GCF_017894325.1	eligible			Bifidobacterium bifidum	Bacteria	2193720	1		
Bifidobacterium_longum~GCF_000196555.1	Bifidobacterium_longum	216816	216816	AP010888	GCF_000196555.1	eligible			Bifidobacterium longum	Bacteria	2385164	1		
Bordetella_bronchiseptica~GCF_900636925.1	Bordetella_bronchiseptica	518	518	LR134326	GCF_900636925.1	eligible			Bordetella bronchiseptica	Bacteria	5199761	1		
Bordetella_pertussis~GCF_001605295.1	Bordetella_pertussis	520	520	CP010964	GCF_001605295.1	eligible			Bordetella pertussis	Bacteria	4102978	1		
Borreliella_burgdorferi~GCF_000008685.1	Borreliella_burgdorferi	139	139	AE000783	GCF_000008685.1	eligible			Borreliella burgdorferi	Bacteria	910724	1		
Bos_taurus~strain-9913	Bos_taurus	9913	9913	KC153975	strain:9913	exclude:organelle			Bos taurus	Eukaryota	16448	1		molecule=mitochondrion
Brachybacterium_faecium~GCF_000023405.1	Brachybacterium_faecium	43669	43669	CP001643	GCF_000023405.1	eligible			Brachybacterium faecium	Bacteria	3614992	1		
Bradyrhizobium_diazoefficiens~GCF_000011365.1	Bradyrhizobium_diazoefficiens	1355477	1355477	BA000040	GCF_000011365.1	eligible			Bradyrhizobium diazoefficiens	Bacteria	9105828	1		
Brassica_oleracea~strain-3712	Brassica_oleracea	3712	3712	JF920286	strain:3712	exclude:organelle			Brassica oleracea	Eukaryota	360271	1		molecule=mitochondrion
Buchnera_aphidicola~GCF_000009605.1	Buchnera_aphidicola	9	9	BA000003	GCF_000009605.1	eligible			Buchnera aphidicola	Bacteria	640681	1		
Bundibugyo_ebolavirus~GCF_000889155.1	Bundibugyo_ebolavirus	565995	3052458	NC_014373	GCF_000889155.1	exclude:virus			Orthoebolavirus bundibugyoense	Viruses	18940	1		
