unit_id	scientificName	source_lane	species_taxid	declared_species	parent_assembly	ani_match	summary_match	in_refseq	taxonomy_check	best_match_status	best_match_species	ncbi_current_species	version_status	excluded_from_refseq	relation_to_type_material	seq_rel_date	confounded	flags
Acholeplasma_laidlawii~GCF_000018785.1	Acholeplasma_laidlawii	NCBI-REF	2148	Acholeplasma laidlawii	GCF_000018785.1	exact	exact	yes	OK	species-match	Acholeplasma laidlawii	Acholeplasma laidlawii	latest		assembly from type material	2007-12-07		
Acinetobacter_baumannii~GCF_009035845.1	Acinetobacter_baumannii	NCBI-REF	470	Acinetobacter baumannii	GCF_009035845.1	exact	exact	yes	OK	species-match	Acinetobacter baumannii	Acinetobacter baumannii	latest		assembly from type material	2019-10-16		
Acinetobacter_pittii~GCF_000191145.1	Acinetobacter_pittii	NCBI-REF	48296	Acinetobacter pittii	GCF_000191145.1	exact	exact	yes	OK	species-match	Acinetobacter pittii	Acinetobacter pittii	latest			2011-03-03		
Actinobacillus_pleuropneumoniae~GCF_003290385.1	Actinobacillus_pleuropneumoniae	NCBI-REF	715	Actinobacillus pleuropneumoniae	GCF_003290385.1	exact	exact	yes	OK	species-match	Actinobacillus pleuropneumoniae	Actinobacillus pleuropneumoniae	latest		assembly from type material	2018-07-08		
Aggregatibacter_aphrophilus~GCF_900636915.1	Aggregatibacter_aphrophilus	NCBI-REF	732	Aggregatibacter aphrophilus	GCF_900636915.1	exact	exact	yes	OK	species-match	Aggregatibacter aphrophilus	Aggregatibacter aphrophilus	latest		assembly from type material	2018-12-20		
Agrobacterium_fabrum~GCF_000092025.1	Agrobacterium_fabrum	NCBI-REF	1176649	Agrobacterium fabrum	GCF_000092025.1	exact	exact	yes	OK	below-threshold-mismatch	Agrobacterium radiobacter	Agrobacterium fabrum	latest		assembly from type material	2007-11-05		best_match_species_mismatch
Aliivibrio_fischeri~GCF_000011805.1	Aliivibrio_fischeri	NCBI-REF	668	Aliivibrio fischeri	GCF_000011805.1	exact	exact	yes	OK	species-match	Aliivibrio fischeri	Aliivibrio fischeri	latest			2008-04-02		
Alkaliphilus_transvaalensis~GCF_000016985.1	Alkaliphilus_transvaalensis	NCBI-REF	208226	Alkaliphilus metalliredigens	GCF_000016985.1	exact	exact	yes	OK	low-coverage	Andreesenella formicacetica	Alkaliphilus metalliredigens	latest		assembly from type material	2007-06-28		best_match_species_mismatch
Amycolatopsis_mediterranei~GCF_000220945.1	Amycolatopsis_mediterranei	NCBI-REF	33910	Amycolatopsis mediterranei	GCF_000220945.1	exact	exact	yes	OK	species-match	Amycolatopsis mediterranei	Amycolatopsis mediterranei	latest		assembly from type material	2011-07-19		
Aquifex_aeolicus~GCF_000008625.1	Aquifex_aeolicus	NCBI-REF	63363	Aquifex aeolicus	GCF_000008625.1	exact	exact	yes	OK	below-threshold-mismatch	Aquifex pyrophilus	Aquifex aeolicus	latest		assembly from type material	1999-12-22		best_match_species_mismatch
